Reaction Name,Reaction Equation,Pathways
R_Campodonico_43,msa_c + nadh_c + h_c --> 3hpp_c + nad_c,"[array([43], dtype=uint8)]"
R_Campodonico_44,msa_c + nadph_c + h_c --> 3hpp_c + nadp_c,"[array([44], dtype=uint8)]"
R_Campodonico_45,ac_c + mlthf_c + h2o_c --> 3hpp_c + thf_c,"[array([45], dtype=uint8)]"
R_Campodonico_46,mal_D_c --> 3hpp_c + co2_c,"[array([46, 47], dtype=uint8), array([46, 48], dtype=uint8), array([46, 49], dtype=uint8), array([46, 50], dtype=uint8), array([46, 51], dtype=uint8)]"
R_Campodonico_47,oaa_c + nadh_c + h_c --> mal_D_c + nad_c,"[array([46, 47], dtype=uint8)]"
R_Campodonico_48,oaa_c + nadph_c + h_c --> mal_D_c + nadp_c,"[array([46, 48], dtype=uint8)]"
R_Campodonico_49,glx_c + accoa_c + h2o_c --> mal_D_c + coa_c,"[array([46, 49], dtype=uint8)]"
R_Campodonico_50,ac_c + glx_c --> mal_D_c,"[array([46, 50], dtype=uint8)]"
R_Campodonico_51,fum_c + h2o_c --> mal_D_c,"[array([46, 51], dtype=uint8)]"
R_Campodonico_52,3hppnl_c + nad_c + h2o_c --> 3hpp_c + nadh_c + h_c,"[array([52, 53], dtype=uint8)]"
R_Campodonico_53,glyc_c --> 3hppnl_c + h2o_c,"[array([52, 53], dtype=uint8), array([54, 53], dtype=uint8)]"
R_Campodonico_54,3hppnl_c + nadp_c + h2o_c --> 3hpp_c + nadph_c + h_c,"[array([54, 53], dtype=uint8)]"
R_Campodonico_55,ac_c + fald_c --> 3hpp_c,"[array([55, 56, 57], dtype=uint8), array([55, 56, 59, 60], dtype=uint8), array([55, 56, 61, 60], dtype=uint8), array([55, 56, 62, 63], dtype=uint8), array([55, 56, 64, 63], dtype=uint8), array([55, 56, 65, 66], dtype=uint8)]"
R_Campodonico_56,glyclt_c + nadh_c + h_c --> ac_c + nad_c + h2o_c,"[array([55, 56, 57], dtype=uint8), array([55, 56, 59, 60], dtype=uint8), array([55, 56, 61, 60], dtype=uint8), array([55, 56, 62, 63], dtype=uint8), array([55, 56, 64, 63], dtype=uint8), array([55, 56, 65, 66], dtype=uint8)]"
R_Campodonico_57,glyc_R_c --> glyclt_c + fald_c,"[array([55, 56, 57], dtype=uint8)]"
R_Campodonico_58,3amac_c + h2o_c --> 3hpp_c,"[array([58,  3,  4], dtype=uint8), array([58,  5,  4], dtype=uint8), array([58,  6,  4], dtype=uint8)]"
R_Campodonico_3,b2coa_c + succ_c --> 3amac_c + succoa_c,"[array([58,  3,  4], dtype=uint8)]"
R_Campodonico_4,ppcoa_c + o2_c --> b2coa_c + h2o2_c,"[array([58,  3,  4], dtype=uint8), array([58,  5,  4], dtype=uint8), array([58,  6,  4], dtype=uint8)]"
R_Campodonico_5,b2coa_c + ac_c --> 3amac_c + accoa_c,"[array([58,  5,  4], dtype=uint8)]"
R_Campodonico_6,b2coa_c + h2o_c --> 3amac_c + coa_c,"[array([58,  6,  4], dtype=uint8)]"
R_Campodonico_59,glx_c + nadh_c + h_c --> glyclt_c + nad_c,"[array([55, 56, 59, 60], dtype=uint8)]"
R_Campodonico_60,hpyr_c --> glx_c + fald_c,"[array([55, 56, 59, 60], dtype=uint8), array([55, 56, 61, 60], dtype=uint8)]"
R_Campodonico_61,glx_c + nadph_c + h_c --> glyclt_c + nadp_c,"[array([55, 56, 61, 60], dtype=uint8)]"
R_Campodonico_62,gcald_c + nad_c + h2o_c --> glyclt_c + nadh_c + h_c,"[array([55, 56, 62, 63], dtype=uint8)]"
R_Campodonico_63,glyald_c --> gcald_c + fald_c,"[array([55, 56, 62, 63], dtype=uint8), array([55, 56, 64, 63], dtype=uint8)]"
R_Campodonico_64,gcald_c + nadp_c + h2o_c --> glyclt_c + nadph_c + h_c,"[array([55, 56, 64, 63], dtype=uint8)]"
R_Campodonico_65,2pglyc_c + h2o_c --> glyclt_c + pi_c,"[array([55, 56, 65, 66], dtype=uint8)]"
R_Campodonico_66,2pg_c --> 2pglyc_c + fald_c,"[array([55, 56, 65, 66], dtype=uint8)]"
R_Campodonico_67,3hppcoa_c + h2o_c --> 3hpp_c + coa_c,"[array([67, 68, 15], dtype=uint8), array([67, 69, 14, 15], dtype=uint8), array([67, 69, 70], dtype=uint8)]"
R_Campodonico_68,laccoa_c --> 3hppcoa_c,"[array([67, 68, 15], dtype=uint8)]"
R_Campodonico_15,lald__L_c + coa_c + atp_c --> laccoa_c + adp_c + pi_c,"[array([67, 68, 15], dtype=uint8), array([67, 69, 14, 15], dtype=uint8), array([197,  13,  14,  15], dtype=uint8), array([197,  16,  14,  15], dtype=uint8), array([197,  17,  14,  15], dtype=uint8)]"
R_Campodonico_69,acrlcoa_c + h2o_c --> 3hppcoa_c,"[array([67, 69, 14, 15], dtype=uint8), array([67, 69, 70], dtype=uint8)]"
R_Campodonico_14,laccoa_c --> acrlcoa_c + h2o_c,"[array([67, 69, 14, 15], dtype=uint8), array([197,  13,  14,  15], dtype=uint8), array([197,  16,  14,  15], dtype=uint8), array([197,  17,  14,  15], dtype=uint8)]"
R_Campodonico_70,ppcoa_c + o2_c --> acrlcoa_c + h2o2_c,"[array([67, 69, 70], dtype=uint8)]"
R_Campodonico_197,acrac_c + h2o_c --> 3hpp_c,"[array([197,  13,  14,  15], dtype=uint8), array([197,  16,  14,  15], dtype=uint8), array([197,  17,  14,  15], dtype=uint8)]"
R_Campodonico_13,acrlcoa_c + succ_c --> acrac_c + succoa_c,"[array([197,  13,  14,  15], dtype=uint8)]"
R_Campodonico_16,acrlcoa_c + ac_c --> acrac_c + accoa_c,"[array([197,  16,  14,  15], dtype=uint8)]"
R_Campodonico_17,acrlcoa_c + h2o_c --> acrac_c + coa_c,"[array([197,  17,  14,  15], dtype=uint8)]"
